input,pulse_delta_theta,pulse_delta_dtheta,pulse_delta_x,pulse_delta_dx,pulse_delta_phi,pulse_delta_dphi,B_theta_per_input_s,B_dtheta_per_input_s,B_x_per_input_s,B_dx_per_input_s,B_phi_per_input_s,B_dphi_per_input_s
T,5.6099814149445695e-05,0.028821790293153432,1.9687918298906537e-05,0.010121158028210037,-2.705808301108349e-05,-0.009234881471434774,0.0,5.764358058630687,0.0,2.024231605642007,0.0,-1.8469762942869548
Tp,5.622507377819983e-05,0.02792193043945221,1.0822505155244633e-05,0.005363010945233938,0.00011454742583224113,0.03808910305071685,0.0,5.584386087890442,0.0,1.0726021890467876,0.0,7.617820610143369
