time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,wheel_torque,pitch_torque
0.001,5.554179001044618e-05,-8.405749844894894e-06,-0.028093486640400806,-2.1568835377493035e-05,-0.001294944444041512,2.675161378581101e-06,-0.003194918298641585,0.0006860433928330932
0.006,5.541020171698913e-05,-4.535387640102065e-05,-0.028093873808437978,-9.966477474591266e-05,-0.001294889623834051,1.4858257591906958e-05,-0.001498668143098777,0.0006766523617266285
0.011,5.5178454148056366e-05,-4.778775073621536e-05,-0.02809436072083829,-9.655348402079618e-05,-0.001294812137246816,1.5986581118637757e-05,-0.0015497961014881757,0.0006873554091346871
0.016,5.4934697246712975e-05,-4.9847914129487844e-05,-0.028094845483834206,-9.71958800209964e-05,-0.0012947275419740911,1.7518214142401827e-05,-0.0015233682864882212,0.0006948018448567085
0.021,5.4684079225624406e-05,-5.024971766333062e-05,-0.028095333024587322,-9.772863422117042e-05,-0.0012946358202206574,1.8868780620795282e-05,-0.0015025882568783454,0.0007002099767575203
0.026000000000000002,5.443428183582462e-05,-4.9272499884379894e-05,-0.02809582348155919,-9.834479718083357e-05,-0.0012945379585948067,2.0008040424651838e-05,-0.0014833023169638384,0.0007037536313039829
0.031,5.419175413493774e-05,-4.713351116895788e-05,-0.02809631727705779,-9.904794818322908e-05,-0.0012944353688400562,2.0819416900850734e-05,-0.0014655820904627436,0.0007057840036182972
0.036000000000000004,5.3962111756330904e-05,-4.3926523636559134e-05,-0.028096814856644583,-9.984123411458077e-05,-0.0012943296059678287,2.1330631510779197e-05,-0.0014492821029402601,0.000706310820564304
0.041,5.375042869646909e-05,-3.9781654468056346e-05,-0.028097316687317377,-0.0001007301993680673,-0.0012942222944031516,2.150084050149007e-05,-0.0014343265340737276,0.0007054279258654366
0.046,5.3561155525618504e-05,-3.4815707756879346e-05,-0.028097823265290256,-0.00010172074921954159,-0.0012941152542948725,2.129223603280362e-05,-0.0014206395407802114,0.0007032629613745448
0.051000000000000004,5.339818408799107e-05,-2.9133207921847156e-05,-0.028098335115113462,-0.00010281836360896767,-0.0012940104820539581,2.0671241164925086e-05,-0.0014081519155466076,0.0006999320426521897
0.056,5.326486533128167e-05,-2.2854170313997336e-05,-0.028098852792833768,-0.00010403032834545576,-0.0012939102178999241,1.957354822822785e-05,-0.0013968104282201404,0.0006956257814693139
0.061,5.316402912184164e-05,-1.6040218436506085e-05,-0.02809937688219197,-0.00010535969299780529,-0.0012938168681353886,1.8003593396950216e-05,-0.0013865443586087809,0.0006904038828816159
0.066,5.3098224082395406e-05,-8.759850945173067e-06,-0.028099907977504206,-0.0001068092481862489,-0.0012937328132082582,1.5949178950486295e-05,-0.0013773066069380805,0.000684293783831665
0.07100000000000001,5.3069641181193056e-05,-1.082245370082286e-06,-0.028100446689635183,-0.00010838230578713823,-0.0012936605358675188,1.3390579160985475e-05,-0.001369058488328643,0.0006773786645702629
0.076,5.308013902487202e-05,6.930078634240508e-06,-0.02810099364592731,-0.00011008209244260118,-0.0012936026080327336,1.0311183171602506e-05,-0.0013617585713953954,0.0006697346583319929
0.081,5.313128273467217e-05,1.5227194827667833e-05,-0.028101549486582344,-0.0001119104131485027,-0.0012935616577823324,6.706285807770141e-06,-0.001355371997959672,0.0006614125383519408
0.08600000000000001,5.3224399655616426e-05,2.3755154510004955e-05,-0.028102114861101115,-0.00011387022508070557,-0.0012935403405779076,2.560696289581707e-06,-0.0013498651597312248,0.0006524685468369263
0.091,5.336053325177732e-05,3.246311234253213e-05,-0.02810269043750818,-0.00011596459958133977,-0.0012935414176212326,-2.1412738516214823e-06,-0.0013451994227803015,0.0006429925451304306
0.096,5.354049999111103e-05,4.131014317399868e-05,-0.028103276893815893,-0.00011819526180207533,-0.0012935676907047727,-7.405978081308383e-06,-0.001341348861113381,0.0006330371840566965
0.101,5.376491995208831e-05,5.0259376779471034e-05,-0.02810387491637377,-0.00012056381484968725,-0.0012936219872509654,-1.3237750292899511e-05,-0.0013382866087061148,0.000622650445584848
0.106,5.403424695400752e-05,5.929828708837945e-05,-0.028104485195292035,-0.00012306928421665345,-0.001293707108794163,-1.9611224458922575e-05,-0.0013359872335333475,0.0006118318138022006
0.111,5.43489477223001e-05,6.840436689298593e-05,-0.028105108407321278,-0.00012571140317275086,-0.0012938256483673706,-2.651671058111054e-05,-0.0013344335874809776,0.0006004927640435297
0.116,5.470919859808661e-05,7.751556334239227e-05,-0.028105745254607985,-0.00012849529767891663,-0.001293980453437446,-3.40012033594496e-05,-0.0013336047616968154,0.0005888660328590127
0.121,5.511497811524357e-05,8.66088892279606e-05,-0.028106396449379362,-0.00013142198577075032,-0.001294174410156735,-4.206159210053727e-05,-0.001333472768154788,0.0005769816900437429
0.126,5.5566155212004486e-05,9.566394328533153e-05,-0.028107062706979085,-0.00013449190856955988,-0.0012944103858105367,-5.069366857521773e-05,-0.0013340196025845767,0.0005648670610306815
0.131,5.606250129110984e-05,0.00010467756171286717,-0.028107744742994704,-0.0001377038086432617,-0.0012946912032617156,-5.987197231936169e-05,-0.0013352279185623126,0.0005525468297934411
0.136,5.660392404230273e-05,0.00011367521527605782,-0.02810844324630064,-0.00014105272132961194,-0.0012950193180191957,-6.953333295211628e-05,-0.0013370768207389412,0.000539725653618356
0.14100000000000001,5.719014402737298e-05,0.00012257494029754826,-0.02810915892534705,-0.0001445455979154415,-0.0012953974438854184,-7.976158419005222e-05,-0.0013395746119316651,0.0005267766372593862
0.146,5.7820647453171045e-05,0.00013136504175024797,-0.028109892503288336,-0.00014818332412796178,-0.0012958283873163634,-9.054734349908223e-05,-0.0013426835760902208,0.0005137136565682512
0.151,5.849486590523804e-05,0.000140035617836549,-0.028110644703308003,-0.00015196554152139944,-0.001296314906790095,-0.0001018808581674763,-0.0013463911444960602,0.0005005494741879156
0.156,5.921218389019753e-05,0.00014857796401053893,-0.028111416246708033,-0.00015589185362780233,-0.001296859710588547,-0.0001137519072294725,-0.0013506842565303503,0.00048729541938300424
0.161,5.9972087175283256e-05,0.0001570539053874422,-0.028112207830655253,-0.00015995439087694455,-0.0012974651696257174,-0.00012605635387244284,-0.0013555413226381619,0.0004737194054005045
0.166,6.0774069944246844e-05,0.00016537842900833264,-0.02811302015522861,-0.0001641597631070239,-0.001298133736668437,-0.00013888804175681027,-0.0013609788314620818,0.00046003866470390066
0.171,6.161736155316832e-05,0.0001735453248621333,-0.028113853937032977,-0.0001685085711489338,-0.0012988680166959752,-0.00015223622559707025,-0.0013669660260669922,0.00044632524146428045
0.176,6.250116632647918e-05,0.00018155096638281038,-0.02811470989140811,-0.00017300016735608055,-0.0012996705537705621,-0.00016608808993909808,-0.0013734889862285625,0.0004325825924982903
0.181,6.342467186973259e-05,0.00018939240823074053,-0.028115588729790954,-0.00017763371234376173,-0.0013005438276893586,-0.00018043075784606832,-0.0013805372925936646,0.0004188135868188528
0.186,6.438709890853808e-05,0.00019709767458134394,-0.02811649115266859,-0.00018240560676541437,-0.0013014901513663808,-0.00019521091840694164,-0.0013880912603744873,0.00040492222972180337
0.191,6.538773977639788e-05,0.00020463829053674786,-0.02811741785085857,-0.00018731657154262522,-0.001302511738661465,-0.00021045081863830983,-0.0013961591279078225,0.0003909538238250433
0.196,6.642573394217597e-05,0.00021200393450061442,-0.02811836952250954,-0.00019236706314803992,-0.0013036109065984154,-0.0002261492875379019,-0.0014047281151102161,0.0003769812733667364
0.201,6.750020550884223e-05,0.00021919418976168036,-0.028119346863452112,-0.00019755640906150504,-0.0013047899068898351,-0.00024229263559821476,-0.001413781230343881,0.00036300357260963184
0.20600000000000002,6.861027753195072e-05,0.00022620911584889135,-0.02812035056478866,-0.00020288355309406705,-0.0013060509232926821,-0.0002588673318185179,-0.001423309540919642,0.0003490195525014419
0.211,6.975505994973358e-05,0.00023303534184328955,-0.028121381316900108,-0.00020834968363195707,-0.0013073961112627516,-0.0002758792971882014,-0.0014332978046155578,0.00033506811167386254
0.216,7.093359529444062e-05,0.0002396801536671054,-0.028122439813181375,-0.00021395272253465467,-0.0013088276311560285,-0.00029330666966909954,-0.0014437355230286,0.0003211636429799456
0.221,7.214501497241385e-05,0.0002461552017040315,-0.02812352672646023,-0.00021968966373387216,-0.0013103474553999887,-0.00031112154096108515,-0.0014546297000211455,0.0003072370345861575
0.226,7.338847093946217e-05,0.00025246096474919755,-0.028124642724297842,-0.00022555979205989045,-0.0013119574837284753,-0.00032931134596742766,-0.0014659643899631934,0.0002932874094035675
0.231,7.466311847357843e-05,0.00025859834588094885,-0.028125788469435507,-0.00023156204374131487,-0.0013136595535582969,-0.00034786368411302086,-0.0014777311242229673,0.00027931366382976525
0.23600000000000002,7.596809493842546e-05,0.000264523317252594,-0.02812696462766056,-0.0002377009153793363,-0.0013154555335418306,-0.00036682789890805467,-0.0014899196419330876,0.00026541169310439843
0.241,7.730216745169762e-05,0.00027022149161481793,-0.028128171905339866,-0.0002439784081584382,-0.0013173477090978548,-0.00038621524431013747,-0.0015025011786798572,0.00025186250855931786
0.246,7.866443664841685e-05,0.00027577248736989973,-0.028129410952668753,-0.00025038317135146494,-0.0013193377427228102,-0.00040590844421950685,-0.0015154895674913266,0.00023823092002897908
0.251,8.005416568420976e-05,0.00028117590095221793,-0.02813068240245733,-0.000256914073391035,-0.0013214271350255877,-0.0004258979314962694,-0.0015288814407242706,0.0002245206156839555
0.256,8.147061637485367e-05,0.00028643168149701086,-0.02813198688281346,-0.00026357024695459417,-0.0013236173385034733,-0.00044617405666430755,-0.001542667653915941,0.00021073441909777126
0.261,8.291305112776028e-05,0.0002914936135133998,-0.02813332502278914,-0.0002703561711944874,-0.0013259098205031213,-0.0004667903045617574,-0.001556839601987553,0.00019687446992973682
0.266,8.438004264286437e-05,0.0002962331443349982,-0.028134697542034886,-0.00027728811656414673,-0.0013283070576283016,-0.0004879153483135223,-0.0015713668310862925,0.00018393082154509336
0.271,8.58705115639473e-05,0.0003008620104948825,-0.0281361050831037,-0.0002843403835794819,-0.001330810568129423,-0.000509255836665492,-0.0015862367275489668,0.00017080533845474817
0.276,8.738389929411387e-05,0.00030537757476423833,-0.028137548239466847,-0.00029151061349150774,-0.0013334214151741698,-0.0005308069938382529,-0.00160147934090095,0.00015751069703627064
0.281,8.891963385409822e-05,0.000309777263525474,-0.0281390275996321,-0.000298798347714742,-0.0013361406359948553,-0.000552563407183115,-0.001617083303709333,0.00014405730012746146
0.28600000000000003,9.047713199117715e-05,0.0003140592725849521,-0.02814054374935637,-0.00030620299370976816,-0.0013389692398365263,-0.0005745193612353408,-0.001633039718505945,0.00013045411451178364
0.291,9.205505720423024e-05,0.0003178595087042623,-0.02814209740214709,-0.00031376757136132496,-0.001341909713407564,-0.0005971634010632303,-0.001649327393496677,0.00011798149083836254
0.296,9.365184108357512e-05,0.00032158926962097046,-0.028143689222867592,-0.0003214463220694924,-0.0013449637974763367,-0.0006199359799342062,-0.0016658886662569046,0.00010555030072962571
0.301,9.526713947018785e-05,0.00032525055100950985,-0.02814531976506489,-0.0003292343006568653,-0.0013481321015778628,-0.0006428276776530782,-0.0016827899935621254,9.282674660397196e-05
0.306,9.690059674992324e-05,0.0003288369828970297,-0.02814698957410925,-0.0003371312728374173,-0.0013514152224205166,-0.000665838757945717,-0.0017000245505627808,7.983242811427456e-05
0.311,9.855182778861876e-05,0.00033234334598041004,-0.0281486991945876,-0.0003451371008036809,-0.001354813755633183,-0.0006889687010466581,-0.0017175824748437585,6.658630469712321e-05
0.316,0.00010021977912931664,0.00033534616796565694,-0.028150449293318953,-0.00035330090135198206,-0.0013583297355392822,-0.000712786234959986,-0.0017354536798632513,5.447532186118832e-05
0.321,0.00010190224879880739,0.0003382133650231947,-0.028152240600279807,-0.00036158521612841957,-0.0013619656814679757,-0.0007367949690521129,-0.001753537513987504,4.2907539404249146e-05
0.326,0.00010359902973724719,0.00034106587857367214,-0.028154073630514722,-0.0003699699837719956,-0.001365721735407845,-0.0007608261851382683,-0.001771919270611261,3.089340278652076e-05
0.331,0.00010531002560675208,0.00034389252901303124,-0.028155948883970945,-0.0003784546328168694,-0.0013695980323754754,-0.0007848872125883743,-0.001790611310927964,1.846925071732333e-05
0.336,0.00010703508682575026,0.0003466835289803599,-0.028157866861552958,-0.00038703963740032284,-0.0013735947394067317,-0.0008089838813569402,-0.001809601795354018,5.667039637990046e-06
0.341,0.00010877358568282418,0.0003490071439985359,-0.028159828163624927,-0.00039577418677692644,-0.0013777132089076542,-0.0008336952842046224,-0.0018288895623196477,-6.262533333745808e-06
0.34600000000000003,0.00011052269836560036,0.0003510562054956807,-0.028161833595758218,-0.00040464388043769453,-0.001381956927165174,-0.0008587659963307371,-0.0018483483787923053,-1.6813155454330252e-05
0.35100000000000003,0.00011228215701824444,0.00035315212753591566,-0.028163883653949104,-0.0004136057081337967,-0.001386325756642926,-0.0008837581110905006,-0.0018680459068699268,-2.7993050127448336e-05
0.356,0.00011405216192124984,0.0003552781487574341,-0.028165978791552297,-0.0004226578168482586,-0.0013908193526008185,-0.0009086873667362056,-0.0018880363377920912,-3.9747677636913946e-05
0.361,0.00011583283170949621,0.0003574188371918331,-0.02816811946387455,-0.0004318014569311118,-0.0013954374412241738,-0.0009335670076138918,-0.0019083044828710326,-5.202924759363037e-05
0.366,0.00011762402831568665,0.00035919804166860273,-0.028170306193011568,-0.00044107867589367146,-0.0014001805500341905,-0.000958899866006341,-0.001928850636202067,-6.401584414284487e-05
0.371,0.00011942252778288393,0.0003604774436413984,-0.028172539848687485,-0.0004505147217539099,-0.0014050530664052152,-0.0009848813585730486,-0.001949559267876668,-7.34086199652771e-05
0.376,0.00012122766392985105,0.00036187196880349017,-0.028174820941785177,-0.0004600355603861735,-0.001410054928837138,-0.0010106792282782572,-0.001970421730326512,-8.364074541547593e-05
0.381,0.00012303996643164906,0.00036335875097839474,-0.028177149878965368,-0.0004696366813000994,-0.0014151852971612394,-0.0010363189285665859,-0.001991565717033258,-9.463607358252283e-05
0.386,0.00012485985103147495,0.00036491570176730307,-0.028179527068509007,-0.0004793202844951702,-0.001420443446487344,-0.0010618220961494513,-0.002012970916449046,-0.00010632831726705653
0.391,0.00012668762978209605,0.0003662969028334626,-0.02818195295298003,-0.0004891131749926318,-0.001425829059136602,-0.0010875145992166656,-0.0020346255372244576,-0.00011865825248077414
0.396,0.0001285201529919666,0.0003668564384135094,-0.028184428428745925,-0.0004990980195471316,-0.0014313470423520313,-0.0011142790050277997,-0.0020564816811545743,-0.00012676313709679378
0.401,0.00013035586438442154,0.0003676052165870851,-0.028186954071022053,-0.0005091618086219288,-0.0014369979558028875,-0.001140751170920774,-0.0020783726485252476,-0.00013594382779351702
