time_s,tp_per_leg_nm,left_theta_world_rad,right_theta_world_rad
0.001,-20.0,0.0,0.0
0.002,-20.0,-0.00023046049672345174,-0.00023046049672338404
0.003,-20.0,-0.0006896545985223791,-0.0006896545985223791
0.004,-20.0,-0.001376367261298881,-0.0013763672612988134
0.005,-20.0,-0.0022893966707825822,-0.0022893966707825146
0.006,-20.0,-0.0034275413305527996,-0.0034275413305528673
0.007,-20.0,-0.004789599976354549,-0.004789599976354549
0.008,-20.0,-0.00637437150316619,-0.00637437150316619
0.009000000000000001,-20.0,-0.008180654635387525,-0.008180654635387457
0.010000000000000002,-20.0,-0.010207247378911861,-0.010207247378911861
0.011000000000000003,-20.0,-0.01245294629167747,-0.012452946291677466
0.012000000000000004,-20.0,-0.014916545601869861,-0.014916545601869861
0.013000000000000005,-20.0,-0.01759683619732824,-0.01759683619732824
0.014000000000000005,-20.0,-0.020492604505515332,-0.0204926045055154
0.015000000000000006,-20.0,-0.023602631280306305,-0.023602631280306305
0.016000000000000007,-20.0,-0.026925690309521494,-0.02692569030952163
0.017000000000000008,-20.0,-0.030460547055394502,-0.030460547055394502
0.01800000000000001,-20.0,-0.03420595723887533,-0.034205957238875394
0.01900000000000001,-20.0,-0.03816066537770533,-0.0381606653777054
0.02000000000000001,-20.0,-0.04232340328750936,-0.04232340328750943
0.02100000000000001,-20.0,-0.04669288855463278,-0.04669288855463285
0.022000000000000013,-20.0,-0.05126782298910856,-0.05126782298910856
0.023000000000000013,-20.0,-0.05604689106591192,-0.056046891065911986
0.024000000000000014,-20.0,-0.0610287583625239,-0.0610287583625239
0.025000000000000015,-20.0,-0.06621207000078155,-0.06621207000078157
0.026000000000000016,-20.0,-0.07159544910100815,-0.07159544910100822
0.027000000000000017,-20.0,-0.07717749525649426,-0.07717749525649426
0.028000000000000018,-20.0,-0.08295678303652432,-0.08295678303652432
0.02900000000000002,-20.0,-0.0889318605263199,-0.08893186052631992
0.03000000000000002,-20.0,-0.09510124791247755,-0.09510124791247761
0.03100000000000002,-20.0,-0.1014634361227329,-0.10146343612273297
0.03200000000000002,-20.0,-0.10801688552916558,-0.10801688552916565
0.03300000000000002,-20.0,-0.11476002472427732,-0.11476002472427732
0.03400000000000002,-20.0,-0.12169124937973011,-0.12169124937973017
0.035000000000000024,-20.0,-0.128808921197903,-0.12880892119790302
0.036000000000000025,-20.0,-0.13611136696684586,-0.1361113669668459
0.037000000000000026,-20.0,-0.14359687772963786,-0.1435968777296379
0.03800000000000003,-20.0,-0.15126370807963097,-0.151263708079631
0.03900000000000003,-20.0,-0.1591100755935467,-0.1591100755935467
0.04000000000000003,-20.0,-0.16713416041491125,-0.16713416041491125
0.04100000000000003,-20.0,-0.175334105000858,-0.175334105000858
0.04200000000000003,-20.0,-0.1837080140458835,-0.1837080140458835
0.04300000000000003,-20.0,-0.19225395459673017,-0.19225395459673017
0.04400000000000003,-20.0,-0.20096995637315984,-0.2009699563731598
0.04500000000000003,-20.0,-0.2098540123099955,-0.2098540123099955
0.046000000000000034,-20.0,-0.21890407933642025,-0.2189040793364203
0.047000000000000035,-20.0,-0.228118079409142,-0.22811807940914203
0.048000000000000036,-20.0,-0.2374939008166297,-0.2374939008166298
0.04900000000000004,-20.0,-0.24702939977222108,-0.2470293997722211
