time_s,theta,theta_rate,x,x_rate,pitch,pitch_rate,wheel_torque,pitch_torque
0.001,5.554179001044618e-05,-8.405749844894894e-06,-0.028093486640400806,-2.1568835377493035e-05,-0.001294944444041512,2.675161378581101e-06,-0.003194918298641585,0.0006860433928330932
0.006,5.541020171698913e-05,-4.852676712962292e-05,-0.028093880410674482,-0.0001062670112555875,-0.0012948886142775974,1.586781404552012e-05,-0.0020811358748997156,0.0006785552698864527
0.011,5.5129108178948716e-05,-6.618921312575532e-05,-0.028094487317771057,-0.00012872585128203588,-0.0012947901514821865,2.1998197529037647e-05,-0.0017715772724900614,0.0006869629873988538
0.016,5.4776437007954365e-05,-7.632886819641016e-05,-0.028095152335924974,-0.00013514856120857942,-0.001294667002787409,2.6318648066502607e-05,-0.0016702281689491868,0.0006979742228212717
0.021,5.4380506918298344e-05,-8.300450753722223e-05,-0.028095835432933935,-0.00013741524356060487,-0.0012945238654615027,3.014236190772298e-05,-0.0016239194114926543,0.0007082247469815982
0.026000000000000002,5.39558819818527e-05,-8.74352545870481e-05,-0.028096526189469125,-0.00013859282375617126,-0.0012943622124295846,3.377108109906841e-05,-0.0015930923540951178,0.0007169780765893254
0.031,5.3512632956801554e-05,-9.015084915856044e-05,-0.028097221875605982,-0.0001394873686090692,-0.001294183152665098,3.7152746578367114e-05,-0.0015675044732948082,0.0007243777987304449
0.036000000000000004,5.30589803111026e-05,-9.13152203090005e-05,-0.028097921781750516,-0.00014030752469250952,-0.0012939876579283612,4.037172725146777e-05,-0.0015443188119863439,0.0007302948608020989
0.041,5.2602325501740716e-05,-9.109951973431956e-05,-0.028098625735309708,-0.0001411131957216898,-0.0012937766497546892,4.339140298825157e-05,-0.0015227602554887237,0.000734766226683076
0.046,5.2149276216597336e-05,-8.964636176249496e-05,-0.02809933373281964,-0.00014192573059728397,-0.0012935512462674908,4.617146389566176e-05,-0.0015025770990290193,0.0007378938155310325
0.051000000000000004,5.170576360953478e-05,-8.708106462649695e-05,-0.028100045844362907,-0.00014275655958474607,-0.0012933127621149335,4.8673397798552175e-05,-0.0014836475625001398,0.0007397741835852993
0.056,5.127701944811127e-05,-8.358113344914209e-05,-0.02810076220313684,-0.00014362082583219973,-0.001293062916512299,5.0774533673380524e-05,-0.0014659390482265765,0.0007406939461952923
0.061,5.0867555913023926e-05,-7.919254013494977e-05,-0.028101482997469094,-0.00014452284087630642,-0.0012928036744765741,5.25171694205147e-05,-0.0014493275704674385,0.0007406527820575368
0.066,5.048170056768753e-05,-7.398877441723437e-05,-0.028102208422594546,-0.00014546557482043507,-0.0012925367976217756,5.3896352043843086e-05,-0.0014337325272515738,0.0007395877402433525
0.07100000000000001,5.012335740661e-05,-6.805428482726447e-05,-0.028102938692840473,-0.0001464528004998176,-0.0012922641914464357,5.48830646991464e-05,-0.0014191306485064877,0.0007375762209787966
0.076,4.979602264944671e-05,-6.146635632519004e-05,-0.02810367404500261,-0.00014748930247611558,-0.0012919878976760946,5.545120831170054e-05,-0.001405483786242075,0.0007346901087891273
0.081,4.9502798437901706e-05,-5.43165984545501e-05,-0.028104414743365072,-0.0001485817092093407,-0.0012917101369257717,5.554939846778359e-05,-0.0013927685482487244,0.0007310524431554856
0.08600000000000001,4.9246338762604776e-05,-4.665979687223171e-05,-0.028105161085196503,-0.0001497346499935479,-0.0012914333421846485,5.5169306612779084e-05,-0.0013809420560590767,0.0007267480676670482
0.091,4.902911395831493e-05,-3.853852158067836e-05,-0.028105913379981043,-0.00015095068544087475,-0.0012911598672757363,5.43136972132313e-05,-0.0013699406344790247,0.0007217426744035839
0.096,4.885333823135586e-05,-3.0005903884467553e-05,-0.02810667195020676,-0.0001522322622094943,-0.0012908921421733173,5.2965406639933035e-05,-0.0013597494537678733,0.0007160915345464953
0.101,4.872096942918521e-05,-2.111046499443052e-05,-0.02810743713258029,-0.0001535823762952159,-0.0012906326759925001,5.110946842750866e-05,-0.0013503446217608718,0.0007098456185201614
