time_s,theta_target_deg,left_theta_world_deg,right_theta_world_deg
0.001,-40.0,0.0,0.0
0.002,-40.0,-0.011522992703423286,-0.011522992703423286
0.003,-40.0,-0.0341473278692952,-0.0341473278692952
0.004,-40.0,-0.06748845495494687,-0.06748845495494687
0.005,-40.0,-0.11117217108811141,-0.11117217108810752
0.006,-40.0,-0.16483373134134313,-0.16483373134134702
0.007,-40.0,-0.22811764667903375,-0.22811764667903375
0.008,-40.0,-0.3006774909660227,-0.30067749096602275
0.009000000000000001,-40.0,-0.38217570346236335,-0.38217570346236335
0.010000000000000002,-40.0,-0.4722833892437521,-0.472283389243756
0.011000000000000003,-40.0,-0.5706801196802204,-0.5706801196802243
0.012000000000000004,-40.0,-0.6770537345615197,-0.6770537345615197
0.013000000000000005,-40.0,-0.7911001470348389,-0.7911001470348388
0.014000000000000005,-40.0,-0.9125231521973843,-0.9125231521973883
0.015000000000000006,-40.0,-1.0410342399370949,-1.0410342399370949
0.016000000000000007,-40.0,-1.1763524124224407,-1.1763524124224407
0.017000000000000008,-40.0,-1.3182040064935134,-1.3182040064935134
0.01800000000000001,-40.0,-1.4663225210912552,-1.4663225210912552
0.01900000000000001,-40.0,-1.6204484497725138,-1.620448449772514
0.02000000000000001,-40.0,-1.780329118290111,-1.7803291182901149
0.02100000000000001,-40.0,-1.9457185271644077,-1.9457185271644077
0.022000000000000013,-40.0,-2.1163771991331624,-2.1163771991331624
0.023000000000000013,-40.0,-2.292072031337101,-2.292072031337104
0.024000000000000014,-40.0,-2.472576152076828,-2.4725761520768326
0.025000000000000015,-40.0,-2.657668781962139,-2.657668781962139
0.026000000000000016,-40.0,-2.847135099264968,-2.847135099264968
0.027000000000000017,-40.0,-3.040766109281711,-3.040766109281711
0.028000000000000018,-40.0,-3.238358517508897,-3.238358517508901
0.02900000000000002,-40.0,-3.4397146064363806,-3.4397146064363886
0.03000000000000002,-40.0,-3.6446421157655875,-3.6446421157655875
0.03100000000000002,-40.0,-3.852954125864476,-3.85295412586448
0.03200000000000002,-40.0,-4.064468944277122,-4.0644689442771265
0.03300000000000002,-40.0,-4.279009995112454,-4.279009995112454
0.03400000000000002,-40.0,-4.496405711144609,-4.496405711144609
0.035000000000000024,-40.0,-4.716489428465641,-4.7164894284656445
0.036000000000000025,-40.0,-4.939099283539731,-4.9390992835397345
0.037000000000000026,-40.0,-5.164078112517165,-5.164078112517174
0.03800000000000003,-40.0,-5.391273352675229,-5.3912733526752294
0.03900000000000003,-40.0,-5.620536945862019,-5.620536945862024
0.04000000000000003,-40.0,-5.8517252438282465,-5.85172524382825
0.04100000000000003,-40.0,-6.084698915340531,-6.084698915340538
0.04200000000000003,-40.0,-6.319322854978396,-6.319322854978399
0.04300000000000003,-40.0,-6.555466093525147,-6.55546609352515
0.04400000000000003,-40.0,-6.793001709870875,-6.793001709870884
0.04500000000000003,-40.0,-7.0318067443532,-7.0318067443532115
0.046000000000000034,-40.0,-7.271762113468595,-7.2717621134686015
0.047000000000000035,-40.0,-7.512752525893979,-7.512752525893987
0.048000000000000036,-40.0,-7.754666399764448,-7.754666399764459
0.04900000000000004,-40.0,-7.997395781159315,-7.997395781159329
0.05000000000000004,-40.0,-8.240836263753994,-8.240836263754003
0.05100000000000004,-40.0,-8.484886909600423,-8.484886909600432
0.05200000000000004,-40.0,-8.729450171003872,-8.729450171003878
0.05300000000000004,-40.0,-8.974431813468078,-8.974431813468087
0.05400000000000004,-40.0,-9.21974083968477,-9.219740839684775
0.05500000000000004,-40.0,-9.465289414547607,-9.465289414547614
0.05600000000000004,-40.0,-9.710992791173588,-9.710992791173597
0.057000000000000044,-40.0,-9.956769237918232,-9.956769237918241
0.058000000000000045,-40.0,-10.202539966373504,-10.202539966373513
0.059000000000000045,-40.0,-10.44822906033986,-10.44822906033987
0.060000000000000046,-40.0,-10.69376340576595,-10.693763405765957
0.06100000000000005,-40.0,-10.93907262165136,-10.939072621651373
0.06200000000000005,-40.0,-11.184088991909398,-11.18408899190941
0.06300000000000004,-40.0,-11.42874739818845,-11.42874739818846
0.06400000000000004,-40.0,-11.672985253651316,-11.672985253651333
0.06500000000000004,-40.0,-11.916742437713316,-11.916742437713326
0.06600000000000004,-40.0,-12.159961231740219,-12.15996123174023
0.06700000000000005,-40.0,-12.402586255708323,-12.40258625570833
0.06800000000000005,-40.0,-12.64456440582875,-12.644564405828762
0.06900000000000005,-40.0,-12.885844793139047,-12.88584479313906
0.07000000000000005,-40.0,-13.126378683064747,-13.126378683064763
0.07100000000000005,-40.0,-13.366119435954104,-13.366119435954118
0.07200000000000005,-40.0,-13.605022448588885,-13.605022448588898
0.07300000000000005,-40.0,-13.84304509667419,-13.843045096674201
0.07400000000000005,-40.0,-14.08014667830981,-14.080146678309823
0.07500000000000005,-40.0,-14.3162883584457,-14.316288358445716
0.07600000000000005,-40.0,-14.551433114323597,-14.55143311432361
0.07700000000000005,-40.0,-14.785545681906214,-14.785545681906227
0.07800000000000006,-40.0,-15.018592503295709,-15.018592503295723
0.07900000000000006,-40.0,-15.250541675141772,-15.250541675141791
0.08000000000000006,-40.0,-15.481362898039784,-15.4813628980398
0.08100000000000006,-40.0,-15.711027426918799,-15.711027426918815
0.08200000000000006,-40.0,-15.939508022418552,-15.939508022418572
0.08300000000000006,-40.0,-16.166778903253995,-16.166778903254002
0.08400000000000006,-40.0,-16.39281569956552,-16.39281569956554
0.08500000000000006,-40.0,-16.617595407252452,-16.617595407252473
0.08600000000000006,-40.0,-16.84109634328642,-16.84109634328643
0.08700000000000006,-40.0,-17.063298102001227,-17.063298102001234
0.08800000000000006,-40.0,-17.28418151235484,-17.284181512354852
0.08900000000000007,-40.0,-17.50372859615869,-17.503728596158698
0.09000000000000007,-40.0,-17.72192252726886,-17.721922527268877
0.09100000000000007,-40.0,-17.938747591733403,-17.938747591733414
0.09200000000000007,-40.0,-18.15418914888914,-18.154189148889156
0.09300000000000007,-40.0,-18.368233593401065,-18.36823359340108
0.09400000000000007,-40.0,-18.580868318236934,-18.580868318236956
0.09500000000000007,-40.0,-18.792081678568866,-18.79208167856888
0.09600000000000007,-40.0,-19.00186295659373,-19.001862956593737
0.09700000000000007,-40.0,-19.210202327263275,-19.210202327263286
0.09800000000000007,-40.0,-19.417090824914737,-19.417090824914748
0.09900000000000007,-40.0,-19.622520310792083,-19.62252031079209
0.10000000000000007,-40.0,-19.826483441447778,-19.82648344144779
0.10100000000000008,-40.0,-20.028973638014556,-20.028973638014563
0.10200000000000008,-40.0,-20.2299850563362,-20.22998505633621
0.10300000000000008,-40.0,-20.429512557946094,-20.4295125579461
0.10400000000000008,-40.0,-20.627551681881982,-20.627551681881993
0.10500000000000008,-40.0,-20.824098617325046,-20.824098617325053
0.10600000000000008,-40.0,-21.01915017705098,-21.019150177050985
0.10700000000000008,-40.0,-21.212703771680804,-21.212703771680804
0.10800000000000008,-40.0,-21.404757384718454,-21.40475738471846
0.10900000000000008,-40.0,-21.59530954836242,-21.59530954836243
0.11000000000000008,-40.0,-21.784359320078035,-21.78435932007803
0.11100000000000008,-40.0,-21.97190625991712,-21.971906259917134
0.11200000000000009,-40.0,-22.15795040857156,-22.157950408571566
0.11300000000000009,-40.0,-22.34249226614673,-22.34249226614674
0.11400000000000009,-40.0,-22.525532771641238,-22.52553277164125
0.11500000000000009,-40.0,-22.707073283118696,-22.70707328311871
0.11600000000000009,-40.0,-22.88711555855756,-22.88711555855756
0.11700000000000009,-40.0,-23.06566173736465,-23.06566173736465
0.11800000000000009,-40.0,-23.242714322538173,-23.242714322538177
0.11900000000000009,-40.0,-23.418276163465663,-23.418276163465663
0.12000000000000009,-40.0,-23.592350439342606,-23.59235043934261
0.1210000000000001,-40.0,-23.76494064319711,-23.76494064319711
0.1220000000000001,-40.0,-23.936050566506097,-23.93605056650609
0.1230000000000001,-40.0,-24.105684284388694,-24.105684284388694
0.1240000000000001,-40.0,-24.273846141362064,-24.273846141362068
0.12500000000000008,-40.0,-24.440540737645456,-24.440540737645456
0.12600000000000008,-40.0,-24.60577291599774,-24.60577291599774
0.12700000000000009,-40.0,-24.769547749074324,-24.769547749074324
0.12800000000000009,-40.0,-24.931870527289,-24.931870527289004
0.1290000000000001,-40.0,-25.09274674716636,-25.09274674716636
0.1300000000000001,-40.0,-25.252182100170888,-25.2521821001709
0.1310000000000001,-40.0,-25.41018246199848,-25.4101824619985
0.1320000000000001,-40.0,-25.566753882316522,-25.56675388231654
0.1330000000000001,-40.0,-25.721902574938795,-25.721902574938785
0.1340000000000001,-40.0,-25.875634908421368,-25.875634908421368
0.1350000000000001,-40.0,-26.02795739706635,-26.02795739706635
0.1360000000000001,-40.0,-26.17887669231968,-26.17887669231968
0.1370000000000001,-40.0,-26.328399574550204,-26.328399574550218
0.1380000000000001,-40.0,-26.476532945196844,-26.476532945196848
0.1390000000000001,-40.0,-26.623283819271087,-26.623283819271094
0.1400000000000001,-40.0,-26.768659318202435,-26.768659318202438
0.1410000000000001,-40.0,-26.91266666301405,-26.912666663014043
0.1420000000000001,-40.0,-27.05531316781688,-27.05531316781688
0.1430000000000001,-40.0,-27.196606233610026,-27.19660623361002
0.1440000000000001,-40.0,-27.336553342375783,-27.336553342375776
0.1450000000000001,-40.0,-27.475162051457954,-27.47516205145795
0.1460000000000001,-40.0,-27.6124399882121,-27.612439988212095
0.1470000000000001,-40.0,-27.748394844916895,-27.748394844916888
0.1480000000000001,-40.0,-27.883034373935814,-27.883034373935825
0.1490000000000001,-40.0,-28.01636638311873,-28.01636638311872
0.1500000000000001,-40.0,-28.148398731433158,-28.148398731433147
0.1510000000000001,-40.0,-28.27913932481547,-28.27913932481546
0.1520000000000001,-40.0,-28.40859611223208,-28.408596112232075
0.1530000000000001,-40.0,-28.53677708194149,-28.53677708194149
0.1540000000000001,-40.0,-28.66369025794793,-28.663690257947923
0.1550000000000001,-40.0,-28.7893436966378,-28.789343696637797
0.1560000000000001,-40.0,-28.91374548359034,-28.913745483590343
0.1570000000000001,-40.0,-29.036903730554226,-29.036903730554226
0.1580000000000001,-40.0,-29.158826572581916,-29.158826572581916
0.1590000000000001,-40.0,-29.279522165314244,-29.27952216531425
0.16000000000000011,-40.0,-29.398998682407495,-29.398998682407488
0.16100000000000012,-40.0,-29.51726431309573,-29.517264313095723
0.16200000000000012,-40.0,-29.63432725988173,-29.634327259881722
0.16300000000000012,-40.0,-29.75019573634923,-29.750195736349223
0.16400000000000012,-40.0,-29.864877965090574,-29.86487796509057
0.16500000000000012,-40.0,-29.978382175743114,-29.978382175743096
0.16600000000000012,-40.0,-30.090716603128623,-30.090716603128623
0.16700000000000012,-40.0,-30.201889485490064,-30.201889485490074
0.16800000000000012,-40.0,-30.311909062819854,-30.311909062819854
0.16900000000000012,-40.0,-30.420783575274807,-30.4207835752748
0.17000000000000012,-40.0,-30.528521261672388,-30.528521261672385
0.17100000000000012,-40.0,-30.635130358063808,-30.6351303580638
0.17200000000000013,-40.0,-30.740619096378925,-30.740619096378925
0.17300000000000013,-40.0,-30.844995703139144,-30.844995703139162
0.17400000000000013,-40.0,-30.948268398233623,-30.94826839823363
0.17500000000000013,-40.0,-31.050445393755137,-31.05044539375515
0.17600000000000013,-40.0,-31.151534892891906,-31.15153489289191
0.17700000000000013,-40.0,-31.251545088871445,-31.251545088871445
0.17800000000000013,-40.0,-31.35048416395351,-31.350484163953524
0.17900000000000013,-40.0,-31.448360288468624,-31.44836028846863
0.18000000000000013,-40.0,-31.545181619899257,-31.545181619899267
0.18100000000000013,-40.0,-31.64095630200084,-31.640956302000856
0.18200000000000013,-40.0,-31.73569246395993,-31.735692463959932
0.18300000000000013,-40.0,-31.82939821958674,-31.829398219586757
0.18400000000000014,-40.0,-31.92208166654017,-31.922081666540198
0.18500000000000014,-40.0,-32.01375088558244,-32.013750885582446
0.18600000000000014,-40.0,-32.1044139398618,-32.104413939861814
0.18700000000000014,-40.0,-32.19407887422099,-32.19407887422101
0.18800000000000014,-40.0,-32.28275371452979,-32.282753714529804
0.18900000000000014,-40.0,-32.37044646703974,-32.37044646703976
0.19000000000000014,-40.0,-32.45716511775981,-32.457165117759835
0.19100000000000014,-40.0,-32.54291763185101,-32.54291763185102
0.19200000000000014,-40.0,-32.62771195303907,-32.62771195303909
0.19300000000000014,-40.0,-32.7115560030435,-32.711556003043526
0.19400000000000014,-40.0,-32.79445768102221,-32.794457681022216
0.19500000000000015,-40.0,-32.87642486303015,-32.87642486303017
0.19600000000000015,-40.0,-32.95746540149159,-32.9574654014916
0.19700000000000015,-40.0,-33.03758712468439,-33.037587124684414
0.19800000000000015,-40.0,-33.11679783623606,-33.11679783623607
0.19900000000000015,-40.0,-33.195105314630446,-33.19510531463047
0.20000000000000015,-40.0,-33.27251731272448,-33.27251731272451
0.20100000000000015,-40.0,-33.34904155727443,-33.34904155727445
0.20200000000000015,-40.0,-33.424685748470864,-33.42468574847089
0.20300000000000015,-40.0,-33.499457559482096,-33.4994575594821
0.20400000000000015,-40.0,-33.5733646360054,-33.57336463600541
0.20500000000000015,-40.0,-33.646414595825796,-33.64641459582582
0.20600000000000016,-40.0,-33.71861502838193,-33.71861502838194
0.20700000000000016,-40.0,-33.78997349433862,-33.789973494338625
0.20800000000000016,-40.0,-33.86049752516619,-33.8604975251662
0.20900000000000016,-40.0,-33.93019462272587,-33.930194622725885
0.21000000000000016,-40.0,-33.999072258861425,-33.99907225886146
0.21100000000000016,-40.0,-34.0671378749967,-34.06713787499674
0.21200000000000016,-40.0,-34.13439888173891,-34.13439888173894
0.21300000000000016,-40.0,-34.20086265848762,-34.20086265848765
0.21400000000000016,-40.0,-34.26653655304944,-34.26653655304947
0.21500000000000016,-40.0,-34.33142788125816,-34.33142788125818
0.21600000000000016,-40.0,-34.39554392660044,-34.39554392660046
0.21700000000000016,-40.0,-34.458891939847014,-34.45889193984703
0.21800000000000017,-40.0,-34.52147913868932,-34.52147913868935
0.21900000000000017,-40.0,-34.583312707381765,-34.583312707381786
0.22000000000000017,-40.0,-34.644399796389386,-34.6443997963894
0.22100000000000017,-40.0,-34.70474752204118,-34.70474752204122
0.22200000000000017,-40.0,-34.76436296618909,-34.76436296618912
0.22300000000000017,-40.0,-34.82325317587256,-34.8232531758726
0.22400000000000017,-40.0,-34.88142516298904,-34.88142516298907
0.22500000000000017,-40.0,-34.93888590397015,-34.93888590397018
0.22600000000000017,-40.0,-34.995642339463885,-34.99564233946389
0.22700000000000017,-40.0,-35.05170137402275,-35.05170137402278
0.22800000000000017,-40.0,-35.10706987579812,-35.10706987579814
0.22900000000000018,-40.0,-35.161754676240605,-35.16175467624064
0.23000000000000018,-40.0,-35.21576256980691,-35.215762569806934
0.23100000000000018,-40.0,-35.269100313672865,-35.269100313672894
0.23200000000000018,-40.0,-35.32177462745314,-35.321774627453166
0.23300000000000018,-40.0,-35.373792192927425,-35.37379219292744
0.23400000000000018,-40.0,-35.425159653773186,-35.42515965377321
0.23500000000000018,-40.0,-35.475883615305456,-35.4758836153055
0.23600000000000018,-40.0,-35.525970644223264,-35.52597064422328
0.23700000000000018,-40.0,-35.57542726836294,-35.575427268362965
0.23800000000000018,-40.0,-35.62425997645875,-35.624259976458774
0.23900000000000018,-40.0,-35.67247521791035,-35.672475217910375
0.24000000000000019,-40.0,-35.720079402557545,-35.72007940255756
0.2410000000000002,-40.0,-35.767078900462316,-35.767078900462344
0.2420000000000002,-40.0,-35.81348004169821,-35.81348004169823
0.2430000000000002,-40.0,-35.85928911614696,-35.85928911614698
0.2440000000000002,-40.0,-35.904512373302865,-35.904512373302886
0.2450000000000002,-40.0,-35.949156022084296,-35.94915602208431
0.2460000000000002,-40.0,-35.99322623065318,-35.99322623065319
0.2470000000000002,-40.0,-36.03672912624172,-36.03672912624174
0.2480000000000002,-40.0,-36.07967079498707,-36.079670794987095
0.2490000000000002,-40.0,-36.12205728177344,-36.122057281773465
0.25000000000000017,-40.0,-36.163894590082165,-36.16389459008219
0.25100000000000017,-40.0,-36.20518868184926,-36.20518868184927
0.25200000000000017,-40.0,-36.24594547733095,-36.24594547733097
0.25300000000000017,-40.0,-36.286170854976845,-36.286170854976874
0.25400000000000017,-40.0,-36.325870651310936,-36.325870651310964
0.25500000000000017,-40.0,-36.365050660820394,-36.36505066082043
0.25600000000000017,-40.0,-36.40371663585204,-36.40371663585208
0.2570000000000002,-40.0,-36.44187428651681,-36.441874286516835
0.2580000000000002,-40.0,-36.479529280601696,-36.47952928060172
0.2590000000000002,-40.0,-36.516687243489685,-36.5166872434897
0.2600000000000002,-40.0,-36.553353758087226,-36.553353758087255
0.2610000000000002,-40.0,-36.589534364759565,-36.58953436475958
0.2620000000000002,-40.0,-36.62523456127351,-36.62523456127353
0.2630000000000002,-40.0,-36.66045980274807,-36.660459802748086
0.2640000000000002,-40.0,-36.695215501612495,-36.69521550161253
0.2650000000000002,-40.0,-36.72950702757193,-36.729507027571955
0.2660000000000002,-40.0,-36.76333970758048,-36.7633397075805
0.2670000000000002,-40.0,-36.79671882582186,-36.79671882582188
